date_meeting,rate,is_scheduled,rate_change,rate_deposit,rate_lending,date_effective,comments,date_announcement
2000-02-04,3.75,1,0.5,2.75,4.25,2000-02-09,,2000-02-04 09:30:00+01:00
2000-03-23,3.75,1,0.0,2.75,4.25,2000-03-29,,2000-03-23 09:30:00+01:00
2000-05-05,3.75,1,0.0,2.75,4.25,2000-05-10,,2000-05-05 09:30:00+02:00
2000-06-08,3.75,1,0.0,2.75,4.25,2000-06-14,,2000-06-08 09:30:00+02:00
2000-07-07,3.75,1,0.0,2.75,4.25,2000-07-12,,2000-07-07 09:30:00+02:00
2000-08-17,3.75,1,0.0,2.75,4.25,2000-08-23,,2000-08-17 09:30:00+02:00
2000-10-10,3.75,1,0.0,2.75,4.25,2000-10-11,,2000-10-10 09:30:00+02:00
2000-12-07,4.0,1,0.25,3.25,4.75,2000-12-13,,2000-12-07 09:30:00+01:00
2001-02-02,4.0,1,0.0,3.25,4.75,2001-02-07,,2001-02-02 09:30:00+01:00
2001-03-27,4.0,1,0.0,3.25,4.75,2001-03-28,,2001-03-27 09:30:00+02:00
2001-04-27,4.0,1,0.0,3.25,4.75,2001-05-02,,2001-04-27 09:30:00+02:00
2001-05-31,4.0,1,0.0,3.25,4.75,2001-06-06,,2001-05-31 09:30:00+02:00
2001-07-06,4.25,1,0.25,3.5,5.0,2001-07-11,,2001-07-06 09:30:00+02:00
2001-08-24,4.25,1,0.0,3.5,5.0,2001-08-29,,2001-08-24 09:30:00+02:00
2001-09-17,3.75,0,-0.5,3.0,4.5,2001-09-19,scheduled on the same day,2001-09-17 09:30:00+02:00
2001-10-16,3.75,1,0.0,3.0,4.5,2001-10-17,,2001-10-16 09:30:00+02:00
2001-12-05,3.75,1,0.0,3.0,4.5,2001-12-12,,2001-12-05 09:30:00+01:00
2002-02-08,3.75,1,0.0,3.0,4.5,2002-02-13,,2002-02-08 09:30:00+01:00
2002-03-19,4.0,1,0.25,3.25,4.75,2002-03-20,,2002-03-19 09:30:00+01:00
2002-04-26,4.25,1,0.25,3.5,5.0,2002-05-02,,2002-04-26 09:30:00+02:00
2002-06-06,4.25,1,0.0,3.5,5.0,2002-06-12,,2002-06-06 09:30:00+02:00
2002-07-05,4.25,1,0.0,3.5,5.0,2002-07-10,,2002-07-05 09:30:00+02:00
2002-08-16,4.25,1,0.0,3.5,5.0,2002-08-21,,2002-08-16 09:30:00+02:00
2002-10-17,4.25,1,0.0,3.5,5.0,2002-10-23,,2002-10-17 09:30:00+02:00
2002-11-15,4.0,1,-0.25,3.25,4.75,2002-11-20,,2002-11-15 09:30:00+01:00
2002-12-05,3.75,1,-0.25,3.0,4.5,2002-12-11,,2002-12-05 09:30:00+01:00
2003-02-07,3.75,1,0.0,3.0,4.5,2003-02-12,,2003-02-07 09:30:00+01:00
2003-03-18,3.5,1,-0.25,2.75,4.25,2003-03-19,,2003-03-18 09:30:00+01:00
2003-04-25,3.5,1,0.0,2.75,4.25,2003-04-30,,2003-04-25 09:30:00+02:00
2003-06-05,3.0,1,-0.5,2.25,3.75,2003-06-11,,2003-06-05 09:30:00+02:00
2003-07-04,2.75,1,-0.25,2.0,3.5,2003-07-09,,2003-07-04 09:30:00+02:00
2003-08-15,2.75,1,0.0,2.0,3.5,2003-08-20,,2003-08-15 09:30:00+02:00
2003-10-16,2.75,1,0.0,2.0,3.5,2003-10-22,,2003-10-16 09:30:00+02:00
2003-12-05,2.75,1,0.0,2.0,3.5,2003-12-10,,2003-12-05 09:30:00+01:00
2004-02-06,2.5,1,-0.25,1.75,3.25,2004-02-11,,2004-02-06 09:30:00+01:00
2004-04-01,2.0,1,-0.5,1.25,2.75,2004-04-07,,2004-04-01 09:30:00+02:00
2004-04-29,2.0,1,0.0,1.25,2.75,2004-05-05,,2004-04-29 09:30:00+02:00
2004-05-28,2.0,1,0.0,1.25,2.75,2004-06-02,,2004-05-28 09:30:00+02:00
2004-06-24,2.0,1,0.0,1.25,2.75,2004-06-30,,2004-06-24 09:30:00+02:00
2004-08-20,2.0,1,0.0,1.25,2.75,2004-08-25,,2004-08-20 09:30:00+02:00
2004-10-14,2.0,1,0.0,1.25,2.75,2004-10-20,,2004-10-14 09:30:00+02:00
2004-12-09,2.0,1,0.0,1.25,2.75,2004-12-15,,2004-12-09 09:30:00+01:00
2005-01-28,2.0,1,0.0,1.25,2.75,2005-02-02,,2005-01-28 09:30:00+01:00
2005-03-15,2.0,1,0.0,1.25,2.75,2005-03-16,,2005-03-15 09:30:00+01:00
2005-04-29,2.0,1,0.0,1.25,2.75,2005-05-04,,2005-04-29 09:30:00+02:00
2005-06-21,1.5,1,-0.5,0.75,2.25,2005-06-22,,2005-06-21 09:30:00+02:00
2005-08-24,1.5,1,0.0,0.75,2.25,2005-08-31,,2005-08-24 09:30:00+02:00
2005-10-20,1.5,1,0.0,0.75,2.25,2005-10-26,,2005-10-20 09:30:00+02:00
2005-12-02,1.5,1,0.0,0.75,2.25,2005-12-07,,2005-12-02 09:30:00+01:00
2006-01-20,1.75,1,0.25,1.0,2.5,2006-01-25,,2006-01-20 09:30:00+01:00
2006-02-23,2.0,1,0.25,1.25,2.75,2006-03-01,,2006-02-23 09:30:00+01:00
2006-04-28,2.0,1,0.0,1.25,2.75,2006-05-03,,2006-04-28 09:30:00+02:00
2006-06-20,2.25,1,0.25,1.5,3.0,2006-06-21,,2006-06-20 09:30:00+02:00
2006-08-30,2.5,1,0.25,1.75,3.25,2006-09-06,,2006-08-30 09:30:00+02:00
2006-10-26,2.75,1,0.25,2.0,3.5,2006-11-01,,2006-10-26 09:30:00+02:00
2006-12-15,3.0,1,0.25,2.25,3.75,2006-12-20,,2006-12-15 09:30:00+01:00
2007-02-15,3.25,1,0.25,2.5,4.0,2007-02-21,,2007-02-15 09:30:00+01:00
2007-03-30,3.25,1,0.0,2.5,4.0,2007-04-04,,2007-03-30 09:30:00+02:00
2007-05-04,3.25,1,0.0,2.5,4.0,2007-05-09,,2007-05-04 09:30:00+02:00
2007-06-20,3.5,1,0.25,2.75,4.25,2007-06-27,,2007-06-20 09:30:00+02:00
2007-09-07,3.75,1,0.25,3.0,4.5,2007-09-12,,2007-09-07 09:30:00+02:00
2007-10-30,4.0,1,0.25,3.25,4.75,2007-10-31,,2007-10-30 09:30:00+01:00
2007-12-19,4.0,1,0.0,3.25,4.75,2007-12-20,,2007-12-19 09:30:00+01:00
2008-02-13,4.25,1,0.25,3.5,5.0,2008-02-20,,2008-02-13 09:30:00+01:00
2008-04-23,4.25,1,0.0,3.5,5.25,2008-04-30,,2008-04-23 09:30:00+02:00
2008-07-03,4.5,1,0.25,3.75,5.25,2008-07-09,,2008-07-03 09:30:00+02:00
2008-09-04,4.75,1,0.25,4.0,5.5,2008-09-10,,2008-09-04 09:30:00+02:00
2008-10-08,4.25,0,-0.5,3.5,5.0,2008-10-15,joint cut,2008-10-08 09:30:00+02:00
2008-10-22,3.75,1,-0.5,3.0,4.5,2008-10-29,,2008-10-22 09:30:00+02:00
2008-12-04,2.0,1,-1.75,1.25,2.75,2008-12-10,,2008-12-04 09:30:00+01:00
2009-02-11,1.0,1,-1.0,0.25,1.75,2009-02-18,,2009-02-11 09:30:00+01:00
2009-04-21,0.5,1,-0.5,0.0,1.0,2009-04-22,,2009-04-21 09:30:00+02:00
2009-07-02,0.25,1,-0.25,-0.25,0.75,2009-07-08,,2009-07-02 09:30:00+02:00
2009-09-03,0.25,1,0.0,-0.25,0.75,2009-09-09,,2009-09-03 09:30:00+02:00
2009-10-22,0.25,1,0.0,-0.25,0.75,2009-10-28,,2009-10-22 09:30:00+02:00
2009-12-16,0.25,1,0.0,-0.25,0.75,2009-12-23,,2009-12-16 09:30:00+01:00
2010-02-11,0.25,1,0.0,-0.25,0.75,2010-02-17,,2010-02-11 09:30:00+01:00
2010-04-20,0.25,1,0.0,-0.25,0.75,2010-04-21,,2010-04-20 09:30:00+02:00
2010-07-01,0.5,1,0.25,-0.25,1.25,2010-07-07,,2010-07-01 09:30:00+02:00
2010-09-02,0.75,1,0.25,0.0,1.5,2010-09-08,,2010-09-02 09:30:00+02:00
2010-10-26,1.0,1,0.25,0.25,1.75,2010-10-27,,2010-10-26 09:30:00+02:00
2010-12-15,1.25,1,0.25,0.5,2.0,2010-12-22,,2010-12-15 09:30:00+01:00
2011-02-15,1.5,1,0.25,0.75,2.25,2011-02-16,,2011-02-15 09:30:00+01:00
2011-04-20,1.75,1,0.25,1.0,2.5,2011-04-27,,2011-04-20 09:30:00+02:00
2011-07-05,2.0,1,0.25,1.25,2.75,2011-07-06,,2011-07-05 09:30:00+02:00
2011-09-07,2.0,1,0.0,1.25,2.75,2011-09-14,,2011-09-07 09:30:00+02:00
2011-10-27,2.0,1,0.0,1.25,2.75,2011-11-02,,2011-10-27 09:30:00+02:00
2011-12-20,1.75,1,-0.25,1.0,2.5,2011-12-21,,2011-12-20 09:30:00+01:00
2012-02-16,1.5,1,-0.25,0.75,2.25,2012-02-22,,2012-02-16 09:30:00+01:00
2012-04-18,1.5,1,0.0,0.75,2.25,2012-04-25,,2012-04-18 09:30:00+02:00
2012-07-04,1.5,1,0.0,0.75,2.25,2012-07-11,,2012-07-04 09:30:00+02:00
2012-09-06,1.25,1,-0.25,0.5,2.0,2012-09-12,,2012-09-06 09:30:00+02:00
2012-10-25,1.25,1,0.0,0.5,2.0,2012-10-31,,2012-10-25 09:30:00+02:00
2012-12-18,1.0,1,-0.25,0.25,1.75,2012-12-19,,2012-12-18 09:30:00+01:00
2013-02-13,1.0,1,0.0,0.25,1.75,2013-02-20,,2013-02-13 09:30:00+01:00
2013-04-17,1.0,1,0.0,0.25,1.75,2013-04-24,,2013-04-17 09:30:00+02:00
2013-07-03,1.0,1,0.0,0.25,1.75,2013-07-10,,2013-07-03 09:30:00+02:00
2013-09-05,1.0,1,0.0,0.25,1.75,2013-09-11,,2013-09-05 09:30:00+02:00
2013-10-24,1.0,1,0.0,0.25,1.75,2013-10-30,,2013-10-24 09:30:00+02:00
2013-12-17,0.75,1,-0.25,0.0,1.5,2013-12-18,,2013-12-17 09:30:00+01:00
2014-02-13,0.75,1,0.0,0.0,1.5,2014-02-19,,2014-02-13 09:30:00+01:00
2014-04-09,0.75,1,0.0,0.0,1.5,2014-04-16,,2014-04-09 09:30:00+02:00
2014-07-03,0.25,1,-0.5,-0.5,1.0,2014-07-09,,2014-07-03 09:30:00+02:00
2014-09-04,0.25,1,0.0,-0.5,1.0,2014-09-10,,2014-09-04 09:30:00+02:00
2014-10-28,0.0,1,-0.25,-0.75,0.75,2014-10-29,,2014-10-28 09:30:00+01:00
2014-12-16,0.0,1,0.0,-0.75,0.75,2014-12-17,,2014-12-16 09:30:00+01:00
2015-02-11,-0.1,1,-0.1,-0.85,0.65,2015-02-18,,2015-02-11 09:30:00+01:00
2015-03-18,-0.25,0,-0.15,-1.0,0.5,2015-03-25,surprise cut,2015-03-18 09:30:00+01:00
2015-04-29,-0.25,1,0.0,-1.0,0.5,2015-05-06,,2015-04-29 09:30:00+02:00
2015-07-02,-0.35,1,-0.1,-1.1,0.4,2015-07-08,,2015-07-02 09:30:00+02:00
2015-09-03,-0.35,1,0.0,-1.1,0.4,2015-09-09,,2015-09-03 09:30:00+02:00
2015-10-28,-0.35,1,0.0,-1.1,0.4,2015-11-04,,2015-10-28 09:30:00+01:00
2015-12-15,-0.35,1,0.0,-1.1,0.4,2015-12-16,,2015-12-15 09:30:00+01:00
2016-02-11,-0.5,1,-0.15,-1.25,0.25,2016-02-17,,2016-02-11 09:30:00+01:00
2016-04-20,-0.5,1,0.0,-1.25,0.25,2016-04-27,,2016-04-20 09:30:00+02:00
2016-07-06,-0.5,1,0.0,-1.25,0.25,2016-07-13,,2016-07-06 09:30:00+02:00
2016-09-06,-0.5,1,0.0,-1.25,0.25,2016-09-14,,2016-09-06 09:30:00+02:00
2016-10-27,-0.5,1,0.0,-1.25,0.25,2016-11-02,,2016-10-27 09:30:00+02:00
2016-12-21,-0.5,1,0.0,-1.25,0.25,2016-12-28,,2016-12-21 09:30:00+01:00
2017-02-15,-0.5,1,0.0,-1.25,0.25,2017-02-22,,2017-02-15 09:30:00+01:00
2017-04-27,-0.5,1,0.0,-1.25,0.25,2017-05-03,,2017-04-27 09:30:00+02:00
2017-07-04,-0.5,1,0.0,-1.25,0.25,2017-07-05,,2017-07-04 09:30:00+02:00
2017-09-07,-0.5,1,0.0,-1.25,0.25,2017-09-13,,2017-09-07 09:30:00+02:00
2017-10-26,-0.5,1,0.0,-1.25,0.25,2017-11-01,,2017-10-26 09:30:00+02:00
2017-12-20,-0.5,1,0.0,-1.25,0.25,2018-01-03,,2017-12-20 09:30:00+01:00
2018-02-14,-0.5,1,0.0,-1.25,0.25,2018-02-21,,2018-02-14 09:30:00+01:00
2018-04-26,-0.5,1,0.0,-1.25,0.25,2018-05-02,,2018-04-26 09:30:00+02:00
2018-07-03,-0.5,1,0.0,-1.25,0.25,2018-07-04,,2018-07-03 09:30:00+02:00
2018-09-06,-0.5,1,0.0,-1.25,0.25,2018-09-12,,2018-09-06 09:30:00+02:00
2018-10-24,-0.5,1,0.0,-1.25,0.25,2018-10-31,,2018-10-24 09:30:00+02:00
2018-12-20,-0.25,1,0.25,-1.0,0.5,2019-01-09,,2018-12-20 09:30:00+01:00
2019-02-13,-0.25,1,0.0,-1.0,0.5,2019-02-20,,2019-02-13 09:30:00+01:00
2019-04-25,-0.25,1,0.0,-1.0,0.5,2019-08-05,,2019-04-25 09:30:00+02:00
2019-07-03,-0.25,1,0.0,-1.0,0.5,2019-10-07,,2019-07-03 09:30:00+02:00
2019-09-05,-0.25,1,0.0,-1.0,0.5,2019-11-09,,2019-09-05 09:30:00+02:00
2019-10-24,-0.25,1,0.0,,,,,2019-10-24 09:30:00+02:00
2019-12-19,0.0,1,0.25,,,,,2019-12-19 09:30:00+01:00
2020-02-12,0.0,1,0.0,,,,,2020-02-12 09:30:00+01:00
2020-03-13,0.0,0,0.0,,,,,2020-03-13 09:30:00+01:00
2020-03-17,0.0,0,0.0,,,,,2020-03-17 09:30:00+01:00
2020-03-20,0.0,0,0.0,,,,,2020-03-20 09:30:00+01:00
2020-03-27,0.0,0,0.0,,,,,2020-03-27 09:30:00+01:00
2020-04-22,0.0,0,0.0,,,,,2020-04-22 09:30:00+02:00
2020-04-28,0.0,1,0.0,,,,,2020-04-28 09:30:00+02:00
2020-07-01,0.0,1,0.0,,,,,2020-07-01 09:30:00+02:00
2020-09-22,0.0,1,0.0,,,,,2020-09-22 09:30:00+02:00
2020-11-26,0.0,1,0.0,,,,,2020-11-26 09:30:00+01:00
2021-02-10,0.0,1,0.0,,,,,2021-02-10 09:30:00+01:00
2021-04-27,0.0,1,0.0,,,,,2021-04-27 09:30:00+02:00
2021-07-01,0.0,1,0.0,,,,,2021-07-01 09:30:00+02:00
2021-09-21,0.0,1,0.0,,,,,2021-09-21 09:30:00+02:00
2021-11-25,0.0,1,0.0,,,,,2021-11-25 09:30:00+01:00
2022-02-10,0.0,1,0.0,,,,,2022-02-10 09:30:00+01:00
2022-04-28,0.25,1,0.25,,,,,2022-04-28 09:30:00+02:00
2022-06-30,0.75,1,0.5,,,,,2022-06-30 09:30:00+02:00
2022-09-20,1.75,1,1.0,,,,,2022-09-20 09:30:00+02:00
2022-11-24,2.5,1,0.75,,,,,2022-11-24 09:30:00+01:00
2022-02-09,3.0,1,0.5,,,,,2022-02-09 09:30:00+01:00
2023-04-26,3.5,1,0.5,,,,,2023-04-26 09:30:00+02:00
2023-06-29,3.75,1,0.25,,,,,2023-06-29 09:30:00+02:00
2023-09-21,4.0,1,0.25,,,,,2023-09-21 09:30:00+02:00
2023-11-23,4.0,1,0.0,,,,,2023-11-23 09:30:00+01:00
